1 2 	My knee starting to hurt again I'm bout to eat dinner, take another Tylenol and; go back to bed
1 2 	_USER_ _USER_ Hi ladies. Drs have inc'd my dose to 40mg fluoxetine. Hopefully thigs should start picking up soon xx
1 2 	_USER_ they injected me twice w/Epidural, which didnt do anything..I felt everything. And now they are giving me Motrin and; Tylenol3
1 2 	I'm more than sure my liver is bad w all the Tylenol I take daily  disappointed face
1 2 	_USER_ I take Ibuprofen right now but it only helps so much.
1 2 	If I call these doctors tomorrow and; they tell me to take more Tylenol, I'm gonna flip the fuck out
1 3 	Yay!! Fever is breaking!! Thank you Tylenol! From 102.7 to 99.1 degrees in a few hours!! Almost good as new!
1 3 	Steroids for another week  loudly crying face no track and field events for this baby!
1 2 	The cramps are real today. Thank god for Tylenol and a boyfriend that bends over backwards for me
1 2 	Going on day 4 of my wisdom teeth killing me and; me only being able to take Tylenol and; not be able to eat _HASHTAG_
1 2 	Spaghetti, salad, the hangover. Perfect way to relax after a lot of tylenol, and while the child sleeps :)
1 3 	_USER_ I don't have PCOS but was on steroids for medical reasons and gained a lot of weight rapidly since I was 9 years old.
1 3 	_USER_ she's good I'm good still poppin these Motrins 2nd baby pain is serious  weary face
1 3 	The reddish Advil pills taste mad good lmaoo I sound like a druggie but I taste them first and don't use water  weary face
1 3 	_USER_ lol ok. Will let my back ease first though. Not sure running on diazepam and tramadol is safe  face with tears of joy
1 2 	Ibuprofen is my best friend tonight
1 3 	You know you are getting old when you are up at 4:30am and Tylenol makes you loopy. I was just dumped by my bed and my body.
1 2 	Should have taken the Tylenol pm instead of the regular kind.
1 2 	But I did take Advil......
1 3 	Today's posts were sponsored by righteous indignation and steroids. _URL_
1 2 	Maybe I should take a Tylenol every night... Got the best sleep ever, finally  smiling face️
1 2 	My throats is killing me but I can't take NyQuil so I just drank children's Tylenol. Praying Rory doesn't get sick too  weary face loudly crying face
1 3 	Ginger ale and Advil cause lastnite was mad real  face with medical mask weary face
1 2 	I think I've had a headache for a week and I can't figure out why. It only goes away once intake Advil.
1 3 	_USER_ less than a week but the Tylenol helped a lot!
1 3 	This is so painfully Palm Springs matron after taking 2 Xanax and passing out in the sun, I can't even stand it _URL_
1 2 	Nah but I needed some real pain meds cuz that Tylenol did nothing  unamused face.
1 3 	_USER_ I really don't tho lmao camera angles are goat. I barely eat too, so maybe that's why. I'm also on Xanax and; adderal lol
1 2 	Babe woke me up and gave me Advil cuz he knew I'd have a hangover.  face with tears of joy red heart️
1 2 	Hopefully I don't overdose on Tylenol  face with steam from nose
1 2 	Motrin and a ice pack on my head..I hope I can finally go to sleep so this pain will end.
1 2 	If not for Tylenol pm I would've never been able to sleep last night
1 2 	_USER_ just a check up to see how I'm doing on my Prozac.
1 2 	I can't find the effects on this bottle of Tylenol but I swear one is drowsiness.
1 2 	Note to self: take 3 Tylenol PM and 3 Benadryl before bed EVERY night. YAY SLEEP!
1 2 	It sucks too because I can't take  medicines because I'm pregnant only Tylenol but that doesn't work disappointed face
1 3 	_USER_ It's okay *Takes some advil*
1 2 	Let me tell you that being sick + migraine + insane back pain while pregnant is a situation sent from hell. Tylenol sucks.
1 2 	“_USER_: Xanax had me like .. Did I even take my Xanax yet ? ..... I can't remem- Yep I did.” _USER_
1 3 	_USER_ not sure how I stayed so calm, must be the half of Xanax  face with tears of joy pretty proud of myself
1 2 	Feeling a little better thanks to that Tylenol
1 3 	Adulthood is when you are awake and; alert 30 hrs after 30Mg of Valium and; 3 Tylenol3s, but a Benadryl will knock you tf out in 15 minutes.
1 3 	_USER_ ok I'll invest in both cause Motrin ain't cuttin it
1 2 	Me and mandy are for real drunk off Advil pm lol this is hilarious
1 2 	Right feeling so exhausted but know I will feel better if I go to the _URL_ some more paracetamol...motivation please...
1 2 	_USER_: I have had GALLONS.  And as much Tylenol as is permissible.  It's horrific.
1 3 	CRAPPY NIGHT! Any suggestions on keeping fever down? Tylenol and; Motrin isn't cutting :(  _URL_ _URL_
1 3 	3 days post ribcage ride down the stairs, tonight's sleep is courtesy of Tylenol with codeine. Thank you little guys!
1 2 	Is wine appropriate pain management when Tylenol extra strength fails?
1 3 	Snorting Xanax and watching Sex and the City. _HASHTAG_
1 3 	_USER_ feel better  red heart️ the Advil is wearing off, that's why
1 2 	Dentist trip today, thank God for Valium because I can't stand dentists.. but right now, I could care less. _HASHTAG_
1 3 	These valiums from the hospital be having me like fuck everybody, fuck water, fuck air and all lmao. I'm rich  face with tears of joy I be gone.
1 2 	I think I'm gonna need more Advil.
1 3 	_USER_ I suffer really bad in the winter.. nothing work. Creams, steroids. You name it I've tried everything :(
1 2 	Xanax is probably the best thing ever. I couldn't give a single fuck about anything rn smiling face️ sleeping face
1 2 	More Tylenol before bed
1 2 	Was in a xanax coma all day and I loved it
1 3 	Resting Tylenol and cold bottles I'm glad nothing was as serious as it could have been  lady beetle _URL_
1 3 	_HASHTAG_. Am I smiling cause of the Advil or the effects of a 104 fever last night? Either way _HASHTAG_ _URL_
1 2 	Tylenol, throat spray, and Vicks vapor rub is on deck for tonight sneezing face face with thermometer sleeping face
1 3 	When you have baby fever and there's nothing you can do about it  upside-down face *takes children's Tylenol*
